Направление курсов;Сфера;Тема в сфере;Название;Формат проведения;Кол-во отзывов;Средний рейтинг;Год выпуска;Форма общения
Професссиональные;IT-сфера;Программирование;Golang введение;Онлайн;200;5.0;2021;Чат
Професссиональные;IT-сфера;Программирование;Golang продолжение;Онлайн;220;4.9;2021;Чат
Професссиональные;IT-сфера;Программирование;C++ введение;Онлайн;100;4.0;2021;Чат
Професссиональные;IT-сфера;Программирование;C++ продолжение;Онлайн;70;4.8;2021;Чат
Професссиональные;IT-сфера;Программирование;Python для разработчиков;Онлайн;350;4.0;2021;Чат
Професссиональные;IT-сфера;Тестирование;Ручное тестирование;Онлайн;70;4.5;2020;Чат
Професссиональные;IT-сфера;Тестирование;Автоматическое тестирование;Онлайн;90;3.2;2020;Чат
Професссиональные;IT-сфера;Аналитика;Python для аналитиков;Онлайн;95;5.0;2019;Чат
Професссиональные;IT-сфера;Аналитика;Основы машинного обучения;Онлайн;150;4.5;2021;Чат
Професссиональные;IT-сфера;Аналитика;Статистика вводный курс;Онлайн;210;4.4;2021;Чат
Професссиональные;Управление;Менеджмент;Найм персонала;Офлайн;30;2.6;2020;Группа
Професссиональные;Управление;Менеджмент;Работа с персоналом;Офлайн;10;2.2;2020;Группа
Професссиональные;Управление;Менеджмент;Менеджмент проектов в банках;Онлайн;50;4.1;2020;Индивидуально
Професссиональные;Управление;Менеджмент;Менеджмент проектов в аудите;Онлайн;50;4.2;2020;Индивидуально
Професссиональные;Управление;Маркетинг;Цифровой маркетинг;Онлайн;40;1.3;2021;Группа
Развивающие;Личностное развитие;Речь;Ораторское мастерство;Офлайн;80;4.4;2020;Группа
Развивающие;Личностное развитие;Речь;Выступление на публике;Офлайн;5;3.1;2019;Группа
Развивающие;Личностное развитие;Речь;Деловая речь;Офлайн;8;3.0;2019;Группа
Развивающие;Личностное развитие;Речь;Логопедия;Офлайн;120;3.9;2019;Группа
Развивающие;Личностное развитие;Управление временем;Развитие памяти;Офлайн;60;2.8;2019;Индивидуально
Развивающие;Личностное развитие;Управление временем;Тайм-менеджмент;Онлайн;105;0.7;2019;Индивидуально
Развивающие;Языковые курсы;Изучение языка;Английский A1;Офлайн;250;5.0;2020;Группа
Развивающие;Языковые курсы;Изучение языка;Английский B1;Офлайн;140;4.7;2020;Группа
Развивающие;Языковые курсы;Изучение языка;Английский C1;Офлайн;150;4.6;2020;Группа
Развивающие;Языковые курсы;Изучение языка;Немецкий A1;Офлайн;180;4.9;2020;Группа
Развивающие;Языковые курсы;Изучение языка;Немецкий B1;Офлайн;165;4.9;2020;Группа
Развивающие;Языковые курсы;Изучение языка;Французский A1;Офлайн;40;4.0;2021;Группа
Развивающие;Языковые курсы;Изучение языка;Французский B1;Офлайн;20;4.1;2021;Группа
Развивающие;Языковые курсы;Синхронный перевод;Английский;Офлайн;40;3.7;2021;Группа
Развивающие;Языковые курсы;Синхронный перевод;Немецкий;Офлайн;15;2.8;2021;Группа
